"Population_Size","Generations","Crossover_Rate","Mutation_Rate","Accuracy_Score","Revenue_Score","Efficiency_Score","Combined_Score","Timestamp"
"10","5","0.9","0.2","0","0","0","0","12/25/2025 9:51:43 AM"
"10","5","0.9","0.1","0","0","0","0","12/25/2025 9:51:38 AM"
"10","5","0.8","0.3","0","0","0","0","12/25/2025 9:51:34 AM"
"10","5","0.8","0.2","0","0","0","0","12/25/2025 9:51:29 AM"
"10","5","0.8","0.1","0","0","0","0","12/25/2025 9:51:25 AM"
"10","5","0.6","0.3","0","0","0","0","12/25/2025 9:51:20 AM"
"10","5","0.6","0.2","0","0","0","0","12/25/2025 9:51:16 AM"
"10","15","0.9","0.1","0","0","0","0","12/25/2025 9:53:01 AM"
"10","15","0.9","0.2","0","0","0","0","12/25/2025 9:53:05 AM"
"10","15","0.9","0.3","0","0","0","0","12/25/2025 9:53:10 AM"
"20","5","0.6","0.1","0","0","0","0","12/25/2025 9:53:14 AM"
"20","15","0.9","0.1","0","0","0","0","12/25/2025 9:55:06 AM"
"20","15","0.8","0.3","0","0","0","0","12/25/2025 9:55:02 AM"
"20","15","0.8","0.2","0","0","0","0","12/25/2025 9:54:57 AM"
"20","15","0.8","0.1","0","0","0","0","12/25/2025 9:54:53 AM"
"20","15","0.6","0.3","0","0","0","0","12/25/2025 9:54:48 AM"
"20","15","0.6","0.2","0","0","0","0","12/25/2025 9:54:44 AM"
"20","15","0.6","0.1","0","0","0","0","12/25/2025 9:54:39 AM"
"20","10","0.9","0.3","0","0","0","0","12/25/2025 9:54:35 AM"
"20","10","0.9","0.2","0","0","0","0","12/25/2025 9:54:30 AM"
"20","10","0.9","0.1","0","0","0","0","12/25/2025 9:54:25 AM"
"20","10","0.8","0.3","0","0","0","0","12/25/2025 9:54:20 AM"
"50","15","0.9","0.2","0","0","0","0","12/25/2025 9:59:18 AM"
"20","10","0.8","0.2","0","0","0","0","12/25/2025 9:54:15 AM"
"20","10","0.6","0.3","0","0","0","0","12/25/2025 9:54:06 AM"
"20","10","0.6","0.2","0","0","0","0","12/25/2025 9:54:01 AM"
"20","10","0.6","0.1","0","0","0","0","12/25/2025 9:53:56 AM"
"20","5","0.9","0.3","0","0","0","0","12/25/2025 9:53:52 AM"
"20","5","0.9","0.2","0","0","0","0","12/25/2025 9:53:47 AM"
"20","5","0.9","0.1","0","0","0","0","12/25/2025 9:53:42 AM"
"20","5","0.8","0.3","0","0","0","0","12/25/2025 9:53:37 AM"
"20","5","0.8","0.2","0","0","0","0","12/25/2025 9:53:33 AM"
"20","5","0.8","0.1","0","0","0","0","12/25/2025 9:53:28 AM"
"20","5","0.6","0.3","0","0","0","0","12/25/2025 9:53:23 AM"
"20","5","0.6","0.2","0","0","0","0","12/25/2025 9:53:18 AM"
"20","10","0.8","0.1","0","0","0","0","12/25/2025 9:54:10 AM"
"50","15","0.9","0.3","0","0","0","0","12/25/2025 9:59:22 AM"
